,Index,Date,Language,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
0,Stock Market,04-06-2018,en,1,-0.7717,0.09,0.322,0.588,"RT @tcsmithbiz: Job growth starting to stagnate

Stock market 20 quarter rally ends

Deficit skyrocketing

Trade war with China hurting ave…"
1,Stock Market,04-06-2018,en,2,0.296,0.121,0.0,0.879,@LewTheSpook @up_trumped @djrothkopf @realDonaldTrump Yep.  Unless you own stock and can sell it before he releases… https://t.co/Uu6BxZMcUD
2,Stock Market,04-06-2018,en,3,-0.5994,0.0,0.234,0.766,RT @RepSwalwell: Stock market is tumbling. You shouldn’t lose money in your  retirement investments because a childish @realDonaldTrump sta…
3,Stock Market,04-06-2018,en,4,0.63,0.206,0.0,0.794,RT @gr8tjude: China tariffs will sting a bit but in the long run it will be good!  https://t.co/o600WFak9Y
4,Stock Market,04-06-2018,en,5,-0.25,0.133,0.179,0.688,@realDonaldTrump @bernieandsid @77WABCradio Mr. President u better know what u r doing as your trade war has cost m… https://t.co/zUQST850gm
5,Stock Market,04-06-2018,en,6,-0.296,0.116,0.164,0.72,@realDonaldTrump America is a disaster. Thanks for causing the stock market to tank. You're causing all of us to lo… https://t.co/friw5ZbU7g
6,Stock Market,04-06-2018,en,7,-0.5994,0.0,0.234,0.766,RT @RepSwalwell: Stock market is tumbling. You shouldn’t lose money in your  retirement investments because a childish @realDonaldTrump sta…
7,Stock Market,04-06-2018,en,8,-0.5994,0.0,0.234,0.766,RT @RepSwalwell: Stock market is tumbling. You shouldn’t lose money in your  retirement investments because a childish @realDonaldTrump sta…
8,Stock Market,04-06-2018,en,9,0.63,0.206,0.0,0.794,RT @gr8tjude: China tariffs will sting a bit but in the long run it will be good!  https://t.co/o600WFak9Y
9,Stock Market,04-06-2018,en,10,-0.5994,0.0,0.234,0.766,RT @RepSwalwell: Stock market is tumbling. You shouldn’t lose money in your  retirement investments because a childish @realDonaldTrump sta…
10,Stock Market,04-05-2018,en,1,-0.1189,0.0,0.06,0.94,RT @msleen1970: Jesus Christ Trump wants to add another $100B more on tariffs. I swear he's doing this on purpose. The economy is going to…
11,Stock Market,04-05-2018,en,2,0.2023,0.133,0.101,0.766,"@_NotFakeNews_ @ateacher97 China holds a lot of US debt, that means if China wants, she could have some fun with th… https://t.co/8a5HM3skog"
12,Stock Market,04-05-2018,en,3,0.5267,0.195,0.0,0.805,"@StopTrump2020 @realDonaldTrump ""...at the same time in his Administration.""

Stock Market % gain:

Obama:  46.31%… https://t.co/iJhYKNblKX"
13,Stock Market,04-05-2018,en,4,-0.5574,0.0,0.247,0.753,Facebook And Trade Wars: What’s Happening With The Stock Market? https://t.co/fGsJn7hNmr https://t.co/We6DUz1hGt
14,Stock Market,04-05-2018,en,5,0.4588,0.13,0.0,0.87,"RT @kazweida: The stock market rallied yesterday so I guess Trump thought he’d press his luck. 🙄

There’s a reason this was announced after…"
15,Stock Market,04-05-2018,en,6,0.75,0.368,0.0,0.632,@LizAnnSonders Hmm the stock market friendly president? Thanks for the haircut Cheeto boy!
16,Stock Market,04-05-2018,en,7,-0.6436,0.119,0.258,0.622,Can you believe this moron actually recently said that trade wars are GOOD??? So far it's sent the stock market in… https://t.co/XORkm00lJm
17,Stock Market,04-05-2018,en,8,0.4588,0.13,0.0,0.87,"RT @kazweida: The stock market rallied yesterday so I guess Trump thought he’d press his luck. 🙄

There’s a reason this was announced after…"
18,Stock Market,04-05-2018,en,9,0.0,0.0,0.0,1.0,"#Bali #News #investments #Stocks #U.S.A. 

Bali news and views editor's comments. It's been a very volatile week in… https://t.co/D8jm5WG07I"
19,Stock Market,04-05-2018,en,10,0.0,0.0,0.0,1.0,Bogle on stock turbulence: ‘never seen a market this volatile to this extent in my career’ -  https://t.co/wN5eeVkDjy
20,Stock Market,04-04-2018,en,1,-0.5267,0.059,0.154,0.787,"RT @exoticgamora: US businesses feeling an immediate impact from trump's trade war with China

Businesses that use steel hit with a 25% inc…"
21,Stock Market,04-04-2018,en,2,-0.1613,0.104,0.125,0.771,"RT @JasonHalle: WHY IS TRUMP ATTACKING THE STOCK MARKET?

Could it be that he and his billionaire friends are short the market and making B…"
22,Stock Market,04-04-2018,en,3,-0.4404,0.0,0.146,0.854,"RT @PhilippeReines: China retaliating against @realDonaldTrump’s tariffs. Stock market plummeting.

But don’t worry. He’ll get Mexico to pa…"
23,Stock Market,04-04-2018,en,4,-0.296,0.114,0.179,0.707,"RT @thehill: White House acknowledges that Trump's new tariffs could create ""short-term pain"" https://t.co/AAfDcdozkY https://t.co/3NAqgTQI…"
24,Stock Market,04-04-2018,en,5,-0.6597,0.0,0.221,0.779,"RT @AriMelber: Facebook knew almost all of this — the apologies only come after forced exposure. 

Mark Zuckerberg has avoided testifying s…"
25,Stock Market,04-04-2018,en,6,-0.296,0.114,0.179,0.707,"RT @thehill: White House acknowledges that Trump's new tariffs could create ""short-term pain"" https://t.co/AAfDcdozkY https://t.co/3NAqgTQI…"
26,Stock Market,04-04-2018,en,7,-0.296,0.114,0.179,0.707,"RT @thehill: White House acknowledges that Trump's new tariffs could create ""short-term pain"" https://t.co/AAfDcdozkY https://t.co/3NAqgTQI…"
27,Stock Market,04-04-2018,en,8,-0.431,0.2,0.275,0.525,"Business leaders love to celebrate disruption in their rhetoric, but hate when it happens to them. https://t.co/J270fQzD3h"
28,Stock Market,04-04-2018,en,9,-0.7003,0.0,0.216,0.784,RT @Goss30Goss: Stock Market manipulation at the hands of 1 Twitter dumbass should not be allowed to happen in this country. Millions of 40…
29,Stock Market,04-04-2018,en,10,-0.6597,0.0,0.221,0.779,"RT @AriMelber: Facebook knew almost all of this — the apologies only come after forced exposure. 

Mark Zuckerberg has avoided testifying s…"
30,Stock Market,04-03-2018,en,1,-0.128,0.0,0.073,0.927,"RT @FoxNews: .@CLewandowski_: “A stock market that continues to go up. A president who’s defending our border, cutting taxes for Americans…"
31,Stock Market,04-03-2018,en,2,-0.7778,0.068,0.287,0.645,"RT @mkanau: @GOP, how much more insane does it have to get before you stop Trump, who lacks knowledge, creates chaos, manipulates the stock…"
32,Stock Market,04-03-2018,en,3,-0.7778,0.068,0.287,0.645,"RT @mkanau: @GOP, how much more insane does it have to get before you stop Trump, who lacks knowledge, creates chaos, manipulates the stock…"
33,Stock Market,04-03-2018,en,4,-0.128,0.0,0.073,0.927,"RT @FoxNews: .@CLewandowski_: “A stock market that continues to go up. A president who’s defending our border, cutting taxes for Americans…"
34,Stock Market,04-03-2018,en,5,-0.4574,0.086,0.155,0.759,"RT @atDavidHoffman: What an abuse of power!
Trump is using his office to take down a company (Amazon) because he doesn’t like its owner. An…"
35,Stock Market,04-03-2018,en,6,-0.128,0.0,0.073,0.927,"RT @FoxNews: .@CLewandowski_: “A stock market that continues to go up. A president who’s defending our border, cutting taxes for Americans…"
36,Stock Market,04-03-2018,en,7,-0.128,0.0,0.073,0.927,"RT @FoxNews: .@CLewandowski_: “A stock market that continues to go up. A president who’s defending our border, cutting taxes for Americans…"
37,Stock Market,04-03-2018,en,8,0.1027,0.139,0.123,0.738,"RT @goldengateblond: Trump publicly attacked an American company, called the Dept of Justice an “embarassment,” and tanked the stock market…"
38,Stock Market,04-03-2018,en,9,-0.3612,0.0,0.102,0.898,"RT @richardhine: The debt has surged to $21 trillion. The stock market is tanking. Meanwhile, Russia is hacking our nuclear plants and the…"
39,Stock Market,04-03-2018,en,10,-0.128,0.0,0.073,0.927,"RT @FoxNews: .@CLewandowski_: “A stock market that continues to go up. A president who’s defending our border, cutting taxes for Americans…"
40,Stock Market,04-02-2018,en,1,0.3818,0.246,0.11,0.644,"RT @atDavidHoffman: Because Trump Doesn’t like the Washington Post telling the truth about him, he attacks the owner’s company, Amazon, sen…"
41,Stock Market,04-02-2018,en,2,-0.1082,0.128,0.142,0.73,"RT @AynRandPaulRyan: So. Much. Winning.

BREAKING: U.S. stocks are on track to have their worst April start since 1929, according to data c…"
42,Stock Market,04-02-2018,en,3,-0.7184,0.06,0.236,0.704,"RT @aravosis: So @realDonaldTrump’s recklessness is now killing the stock market. If you own Amazon, or any other stock, you just lost a lo…"
43,Stock Market,04-02-2018,en,4,-0.1027,0.098,0.114,0.787,"RT @spinderella2525: @ABC Nothing says “Happy Easter, kids” like a bloated, dirty old man bragging about the economy and stock market to a…"
44,Stock Market,04-02-2018,en,5,0.128,0.126,0.101,0.773,"RT @RogueSNRadvisor: Looking forward to stock market genius @realDonaldTrump taking credit for the 700pt Dow drop today.... 
.
.
.
.
.
.
.…"
45,Stock Market,04-02-2018,en,6,0.0,0.0,0.0,1.0,RT @Steve03343829: Of course he's not bragging about the stock market it's crashing https://t.co/6G9UnU5sYh
46,Stock Market,04-02-2018,en,7,0.1027,0.139,0.123,0.738,"RT @goldengateblond: Trump publicly attacked an American company, called the Dept of Justice an “embarassment,” and tanked the stock market…"
47,Stock Market,04-02-2018,en,8,0.0,0.0,0.0,1.0,"RT @RBReich: Why did the stock market tank today? One word: Trump. 

1) China has responded to Trump with tariffs on American exports -- th…"
48,Stock Market,04-02-2018,en,9,0.1027,0.139,0.123,0.738,"RT @goldengateblond: Trump publicly attacked an American company, called the Dept of Justice an “embarassment,” and tanked the stock market…"
49,Stock Market,04-02-2018,en,10,0.1027,0.139,0.123,0.738,"RT @goldengateblond: Trump publicly attacked an American company, called the Dept of Justice an “embarassment,” and tanked the stock market…"
50,Stock Market,04-01-2018,en,1,-0.296,0.0,0.104,0.896,"RT @charliekirk11: Dems 2018 platform: 

Bring back ISIS
There are no genders 
Open borders 
Repeal 2nd amendment 
Illegals over veterans…"
51,Stock Market,04-01-2018,en,2,0.0,0.0,0.0,1.0,@mww1969_mike @WeThePeopleWon @HuffPost And guess what? Trump has nothing to do with the stock market.
52,Stock Market,04-01-2018,en,3,-0.296,0.0,0.104,0.896,"RT @charliekirk11: Dems 2018 platform: 

Bring back ISIS
There are no genders 
Open borders 
Repeal 2nd amendment 
Illegals over veterans…"
53,Stock Market,04-01-2018,en,4,0.0,0.0,0.0,1.0,US Stock Market: 5 Keys To April Direction https://t.co/rZ5v2OnAVG https://t.co/EBOLyCj5Ks
54,Stock Market,03-28-2018,en,2,0.4019,0.197,0.0,0.803,Four Market-Based Indicators That May Help Investors Identify Stock Market Fragility https://t.co/SS1tOGdCUB
55,Stock Market,03-28-2018,en,3,0.5983,0.15,0.0,0.85,@thehill Of course we aren’t! The #TaxScamBill wasn’t meant for us. It was meant for big business &amp; the rich. And w… https://t.co/4dJ2Cc59nL
56,Stock Market,03-28-2018,en,4,0.0,0.0,0.0,1.0,Stock Market Trading AMZN Pre-Market First 2 Hours Opening Bell Short Huges Puts! https://t.co/dfyrwC9g1O
57,Stock Market,03-28-2018,en,5,-0.872,0.0,0.355,0.645,"RT @OMGno2trump: Keep count #MAGA:
- 60 Trump administration officials have now been fired, quit, indicted for a felony or plead guilty to…"
58,Stock Market,03-28-2018,en,6,0.0,0.0,0.0,1.0,RT @toddmillionaire: ‘Todd Capital Millionaire Podcast Ep 58: Stock market investing basics with Corporate Coke and TRUMP’ on #SoundCloud #…
59,Stock Market,03-28-2018,en,7,0.4096,0.139,0.0,0.861,@WhiteHouse More selective Glee Club reporting from the Narcissist-in-Chief ... but those of us outside the Trumpla… https://t.co/6pnESf8Azu
60,Stock Market,03-28-2018,en,8,0.4019,0.137,0.0,0.863,@wesley_jordan @Amerikabeau2 @realDonaldTrump The puppet master of the stock market. Think he gets an ego boost in… https://t.co/QfJmwUlJeo
61,Stock Market,03-28-2018,en,9,-0.5994,0.0,0.197,0.803,"RT @BrexitBin: Actually, we didn""t.
Between losing the empire and joining the EEC, we had:

Suez
Industrial decline
Lost textile industry
R…"
62,Stock Market,03-28-2018,en,10,-0.4215,0.0,0.123,0.877,"RT @MarsBars6116: Stock market experts have predicted another economic recession by the end of 2019. 

When do you think another recession…"
